kg,km,pack_capacity_id,kg_raw,harvest_estimate_id,lug_id,demand_id,stdunits,solution_num
285.0,1.63,1098,300,5914,5706,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5707,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5708,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5709,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5710,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5711,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5712,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5713,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5714,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5715,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5716,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5717,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5718,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5719,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5720,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5721,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5722,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5723,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5724,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5725,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5726,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5727,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5728,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5729,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5730,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5731,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5732,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5733,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5734,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5735,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5736,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5737,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5738,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5739,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5740,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5741,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5742,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5743,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5744,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5745,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5746,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5747,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5748,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5749,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5750,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5751,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5752,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5753,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5754,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5755,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5756,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5757,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5758,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5759,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5760,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5761,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5762,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5763,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5764,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5765,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5766,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5767,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5768,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5769,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5770,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5771,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5772,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5773,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5774,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5775,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5776,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5777,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5778,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5779,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5780,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5781,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5782,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5783,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5784,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5785,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5786,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5787,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5788,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5789,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5790,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5791,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5792,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5793,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5794,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5795,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5796,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5797,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5798,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5799,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5800,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5801,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5802,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5803,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5804,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5805,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5806,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5807,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5808,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5809,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5810,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5811,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5812,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5813,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5814,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5815,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5816,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5817,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5818,7203,63.333333333333336,20
285.0,1.63,1098,300,5914,5819,7203,63.333333333333336,20
285.0,2.39,1118,300,6425,9266,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9267,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9268,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9269,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9270,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9271,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9272,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9273,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9274,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9275,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9276,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9277,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9278,6515,63.333333333333336,20
285.0,2.39,1118,300,6425,9279,6515,63.333333333333336,20
285.0,2.39,1118,300,6427,9406,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9407,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9408,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9409,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9410,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9411,6501,63.333333333333336,20
285.0,2.39,1118,300,6427,9412,6501,63.333333333333336,20
